date,title,comments
2008-08-06,3 Ninjas Contra-Atacam,
2008-08-07,Matilda,
2008-08-08,O Paizão,
2008-08-11,Garota Veneno,
2008-08-12,Chestnut: O Herói Do Central Park,
2008-08-13,Xuxa Popstar,
2008-08-14,Geração X,
2008-08-15,A Fuga Das Galinhas,
2008-08-18,High School Musical 2,
2008-08-19,O Gato,
2008-08-20,Rodas De Fogo,
2008-08-21,Sabrina Vai À Roma,
2008-08-22,Inspetor Bugiganga,
2008-08-25,MIB: Homens De Preto 2,
2008-08-26,De Justin Para Kelly,
2008-08-27,Uma Escola Muito Doida,
2008-08-28,X-Panzé,
2008-08-29,O Trem Desgovernado ,1999
2008-09-01,O Pequeno Stuart Little 2,
2008-09-02,Xuxa Requebra,
2008-09-03,Um Carro Eletrizante,
2008-09-04,Pequenos Grandes Astros 2 ,inédito em TV aberta
2008-09-05,Animal ,2001
2008-09-08,Dr. Dolittle 3 ,inédito em TV aberta
2008-09-09,Dose Dupla,
2008-09-10,A Borboleta Azul,
2008-09-11,Duro De Agarrar,
2008-09-12,Coração De Dragão,
2008-09-15,Tainá 2: A Aventura Continua,
2008-09-16,Férias Da Família Johnson,
2008-09-17,"Seis Dias, Sete Noites",
2008-09-18,Pequenos Segredos,
2008-09-19,O Pestinha 2,
2008-09-22,Forças Do Destino,
2008-09-23,Sinbad: Enlouquecendo Meu Guarda-Costas,
2008-09-24,A Família Buscapé,
2008-09-25,Amor Sem Fronteiras,
2008-09-26,Toy Story: Um Mundo De Aventuras,
2008-09-29,Um Encontro Com Seu Ídolo!,
2008-09-30,Bebês Geniais 2: Super Bebês,
2008-10-01,"George, O Rei Da Floresta 2",
2008-10-02,Correndo Atrás,
2008-10-03,Dinossauro,
2008-10-06,Shrek,
2008-10-07,Ace Ventura 2: Um Maluco Na África,
2008-10-08,Barbie: Lago Dos Cisnes,
2008-10-09,Inspetor Bugiganga 2,
2008-10-10,"Gasparzinho, Como Tudo Começou",
2008-10-13,10 Coisas Que Eu Odeio Em Você,
2008-10-14,O Peste,
2008-10-15,Sonhos No Gelo ,inédito em TV aberta
2008-10-16,"Rusty, O Grande Resgate",
2008-10-17,O Casamento Do Meu Melhor Amigo,
2008-10-20,Atraídos Pelo Destino,
2008-10-21,Nossa Querida Babá,
2008-10-22,Mudança De Hábito,
2008-10-23,Sinbad: A Lenda Dos Sete Mares,
2008-10-24,Double Dragon,
2008-10-27,No Ritmo Da Dança,
2008-10-28,Eloise No Plaza,
2008-10-29,Hércules ,1997
2008-10-30,Noiva Em Fuga,
2008-10-31,K-9: Um Policial Bom Pra Cachorro 2,
2008-11-03,Do Que As Mulheres Gostam,
2008-11-04,Ciência Travessa,
2008-11-05,Um Ratinho Encrenqueiro,
2008-11-06,Nas Profundezas Do Mar Sem Fim,
2008-11-07,Dungeons & Dragons: A Aventura Começa Agora,
2008-11-10,Parque Dos Dinossauros,
2008-11-11,Quando O Amor Acontece,
2008-11-12,O Grande Desafio,
2008-11-13,A Casa Mágica,
2008-11-14,O 13º Aniversário,
2008-11-17,True Lies,
2008-11-18,O Grinch ,2000
2008-11-19,Velocidade Máxima 2,
2008-11-20,O Tempo Do Lobo,
2008-11-21,Um Príncipe Em Nova York,
2008-11-24,Recém-Casados,
2008-11-25,Johnny Tsunami: O Surfista Da Neve,
2008-11-26,Pode Me Chamar De Noel,
2008-11-27,Entrando Numa Fria,
2008-11-28,Acquaria,
2008-12-01,Meu Primeiro Amor: Parte 2,
2008-12-02,Asterix & Obelix: Missão Cleópatra,
2008-12-03,Natal Em Família,
2008-12-04,Mr. Magoo,
2008-12-05,Um Tira No Jardim De Infância,
2008-12-08,Para Sempre Cinderella,
2008-12-09,ABC Do Amor,
2008-12-10,O Quinto Elemento,
2008-12-11,O Encanto Do Natal,
2008-12-12,O Príncipe Do Egito,
2008-12-15,O Guardião: Em Busca Da Lança Sagrada,
2008-12-16,Uma Babá Quase Perfeita,
2008-12-17,As Tartarugas Ninja 3,
2008-12-18,O Natal De Eloise,
2008-12-19,Gasparzinho E Wendy,
2008-12-22,Um Sonho De Natal,
2008-12-23,Um Conto Quase De Fadas,
2008-12-24,Meu Papai É Noel,
2008-12-25,Esqueceram De Mim 4,
2008-12-26,As Aventuras De Sharkboy E Lavagirl,
2008-12-29,Meu Marciano Favorito,
2008-12-30,Uma História De Luta,
2008-12-31,Bambi 2: O Grande Príncipe Da Floresta ,inédito em TV aberta
2007-01-01,Não Houve Exibição - Posse do Presidente Luiz Inácio Lula da Silva,
2007-01-02,O Corcunda De Notre Dame ,1996
2007-01-03,Duro De Agarrar,
2007-01-04,As Tartarugas Ninja 3,
2007-01-05,Matilda,
2007-01-08,O Caminho Para El Dorado,
2007-01-09,A Maldição Do Halloween,
2007-01-10,O Noviço Rebelde,
2007-01-11,Double Dragon,
2007-01-12,Um Carro Eletrizante,
2007-01-15,Pequenos Grandes Astros,
2007-01-16,Atlantis: O Reino Perdido ,inédito em TV aberta
2007-01-17,Xuxa Popstar,
2007-01-18,Os Monstros Estão De Volta,
2007-01-19,Power Rangers: O Filme,
2007-01-22,Karatê Dog,
2007-01-23,A Magia Das Fadas,
2007-01-24,Pesos Pesados,
2007-01-25,"George, O Rei Da Floresta",
2007-01-26,Mulan ,1998
2007-01-29,Independence Day,
2007-01-30,Uma Babá Quase Perfeita,
2007-01-31,Meu Primeiro Amor: Parte 2,
2007-02-01,Hércules ,1997
2007-02-02,Velocidade Máxima,
2007-02-05,Air Bad Contra-Ataca,
2007-02-06,"Querida, Estiquei O Bebê",
2007-02-07,Procurando Por Lola,
2007-02-08,Os Irmãos Id & Ota,
2007-02-09,Sinbad: Enlouquecendo Meu Guarda-Costas,
2007-02-12,Correndo Atrás,
2007-02-13,Bingo: Esperto Pra Cachorro,
2007-02-14,As Aparências Enganam,
2007-02-15,Barbie Como Rapunzel,
2007-02-16,Um Ninja Da Pesada,
2007-02-19,Não Houve Exibição - Carnaval: Melhores Momentos dos Desfiles RJ,
2007-02-20,Não Houve Exibição - Carnaval: Melhores Momentos dos Desfiles RJ,
2007-02-21,Não Houve Exibição - Carnaval: Apuração RJ,
2007-02-22,Babe: O Porquinho Atrapalhado Na Cidade,
2007-02-23,Três Solteirões E Uma Pequena Dama,
2007-02-26,Os Flintstones Em Viva Rock Vegas,
2007-02-27,Volta Por Cima,
2007-02-28,Cachorro Atômico,
2007-03-01,Quebrando O Gelo,
2007-03-02,Coração De Dragão 2: Um Novo Começo,
2007-03-05,Do Que As Mulheres Gostam,
2007-03-06,Em Maus Lençóis,
2007-03-07,Jumanji,
2007-03-08,Hercule E Sherlock,
2007-03-09,A Família Buscapé,
2007-03-12,O Diário Da Princesa,
2007-03-13,Mong E Lóide,
2007-03-14,O Cachorro Biônico,
2007-03-15,Madeline,
2007-03-16,Os Aventureiros Do Bairro Proibido,
2007-03-19,Pesadelo Nas Alturas,
2007-03-20,A Família Addams 2,
2007-03-21,Tainá: Uma Aventura Na Amazônia,
2007-03-22,O Peste,
2007-03-23,3 Ninjas Contra Atacam,
2007-03-26,A Herança De Mr. Deeds,
2007-03-27,O Gênio Do Videogame,
2007-03-28,Eloise No Plaza,
2007-03-29,SCI: Fighter,
2007-03-30,Esqueceram De Mim 3,
2007-04-02,Como Água E Vinho,
2007-04-03,As Patricinhas De Beverly Hills,
2007-04-04,Superpai,
2007-04-05,Spirit: O Corcel Indomável,
2007-04-06,Maria: Filha Do Seu Filho,
2007-04-09,O Pequeno Stuart Little,
2007-04-10,A Lagoa Azul,
2007-04-11,Gasparzinho: O Fantasminha Camarada,
2007-04-12,Nunca Fui Beijada,
2007-04-13,Bebês Em Ação,
2007-04-16,Noiva Em Fuga,
2007-04-17,Chestnut: O Herói Do Central Park,
2007-04-18,O Demônio Na Garrafa,
2007-04-19,Difícil Decisão,
2007-04-20,As Aventuras De Max Keeble,
2007-04-23,Encontro De Amor,
2007-04-24,Ace Ventura 2: Uma Maluco Na África,
2007-04-25,Um Craque Animal 2 ,inédito em TV aberta
2007-04-26,A Chave Mágica,
2007-04-27,Congo,
2007-04-30,"Lancelot, O Primeiro Cavaleiro",
2007-05-01,Sinbad: A Lenda Dos Sete Mares,
2007-05-02,"George, O Rei Da Floresta 2",
2007-05-03,Ciência Travessa,
2007-05-04,Resgate Na Neve,
2007-05-07,Lisbela E O Prisioneiro,
2007-05-08,O Pestinha 3,
2007-05-09,Não Houve Exibição - Cobertura Jornalística: A Visita do Papa Bento XVI no Brasil,
2007-05-10,As Aventuras De Pinocchio 2,
2007-05-11,Sabrina Vai À Roma,
2007-05-14,Neve Pra Cachorro,
2007-05-15,Tudo Por Amor,
2007-05-16,Velocidade Máxima 2,
2007-05-17,High School Musical,
2007-05-18,O Quinto Elemento,
2007-05-21,Bebês Geniais,
2007-05-22,Confusão Na Austrália,
2007-05-23,Tá Todo Mundo Louco,
2007-05-24,Doce Lar,
2007-05-25,Top Gang 2: A Missão,
2007-05-28,Gasparzinho E Wendy,
2007-05-29,Os Picaretas,
2007-05-30,,
2007-05-31,Ciência Travessa,
2007-06-01,Não Houve Exibição - Amistoso Da Seleção: Brasil x Inglaterra,
2007-06-04,Casamento Grego,
2007-06-05,Não Houve Exibição - Amistoso Da Seleção: Brasil x Turquia,
2007-06-06,Nossa Querida Babá: O Conto De Fadas Continua,
2007-06-07,Maria: Mãe Do Filho De Deus,
2007-06-08,Dinossauro,
2007-06-11,Irmãos Gêmeos,
2007-06-12,Ghost: Do Outro Lado Da Vida,
2007-06-13,Um Tira Em Apuros,
2007-06-14,Bud 3: Jogando Futebol,
2007-06-15,O Retorno Da Família Addams,
2007-06-18,Coração De Cavaleiro,
2007-06-19,Voando Alto ,2003
2007-06-20,X-Panzé,
2007-06-21,O Mundo Fantástico De Oz,
2007-06-22,Um Ratinho Encrenqueiro,
2007-06-25,Crossroads: Amigas Para Sempre,
2007-06-26,Um Maluco No Golfe,
2007-06-27,O Incrível Elefante,
2007-06-28,O Homem Da Casa,
2007-06-29,As Aventuras De Rocky & Bullwinkle,
2007-07-02,Ace Ventura: Um Detetive Diferente,
2007-07-03,Um Caminho Para Dois,
2007-07-04,Não Houve Exibição - Copa América: Brasil x Equador,
2007-07-05,A Princesa Prometida,
2007-07-06,As Tartarugas Ninja 2: O Segredo De Ooze,
2007-07-09,O Amor É Cego,
2007-07-10,Gargantua,
2007-07-11,As Namoradas Do Papai,
2007-07-12,Aquele Gato Danado,
2007-07-13,A Onda Dos Sonhos,
2007-07-16,Não Houve Exibição - Pan Rio 2007,
2007-07-17,Vovôs Em Hollyrock,
2007-07-18,Não Houve Exibição - Pan Rio 2007,
2007-07-19,Não Houve Exibição - Pan Rio 2007,
2007-07-20,Não Houve Exibição - Pan Rio 2007,
2007-07-23,Não Houve Exibição - Pan Rio 2007,
2007-07-24,Não Houve Exibição - Pan Rio 2007,
2007-07-25,Não Houve Exibição - Pan Rio 2007,
2007-07-26,Não Houve Exibição - Pan Rio 2007,
2007-07-27,Não Houve Exibição - Pan Rio 2007,
2007-07-30,O Casamento Do Meu Melhor Amigo,
2007-07-31,Segurem Essas Crianças,
2007-08-01,Dirty Dancing: Ritmo Quente,
2007-08-02,Jogada De Mestre 2: Totalmente Radical,
2007-08-03,Para Sempre Cinderella,
2007-08-06,Pequenos Espiões 2: A Ilha Dos Sonhos Perdidos,
2007-08-07,O Pai Da Noiva 2,
2007-08-08,Bud: O Cão Amigo,
2007-08-09,Nove Meses,
2007-08-10,O Pestinha 2,
2007-08-13,Evelyn: Uma História Verdadeira,
2007-08-14,Passe De Mágica,
2007-08-15,Paulie: O Papagaio Bom De Bico,
2007-08-16,Karatê Kid 4: A Nova Aventura,
2007-08-17,Os Flintstones Em Viva Rock Vegas,
2007-08-20,Um Encontro Com Seu Ídolo!,
2007-08-21,Shiloh 2: Amigos Para Sempre,
2007-08-22,Independence Day,
2007-08-23,Asterix & Obelix Contra Cesar,
2007-08-24,3 Ninjas Do Barulho,
2007-08-27,O Príncipe Do Central Park,
2007-08-28,"George, O Rei Da Floresta ",1997
2007-08-29,Pequenos Grandes Astros,
2007-08-30,Simão: O Fantasma Trapalhão,
2007-08-31,Motocross: A Aventura,
2007-09-03,Recém-Casados,
2007-09-04,Karatê Dog,
2007-09-05,Turbo: Power Rangers 2,
2007-09-06,Scooter: O Agente Secreto,
2007-09-07,O Auto Da Compadecida,
2007-09-10,Um Dia Especial,
2007-09-11,Sinbad: Enlouquecendo Meu Guarda-Costas,
2007-09-12,A História De Waylon ,inédito em TV aberta
2007-09-13,Xuxa E Os Duendes,
2007-09-14,Velocidade Máxima,
2007-09-17,Um Príncipe Em Minha Vida,
2007-09-18,Good Burger,
2007-09-19,Caçadoras De Aventuras,
2007-09-20,Billy Madison: Um Herdeiro Bobalhão,
2007-09-21,Coração De Dragão,
2007-09-24,Uma Viagem Inesperada,
2007-09-25,Um Verão Diferente,
2007-09-26,Sabrina,
2007-09-27,Curtindo A Vida Adoidado,
2007-09-28,American Ninja 5,
2007-10-01,Náufrago,
2007-10-02,O Diário Da Princesa,
2007-10-03,Jumanji,
2007-10-04,Zamora: Um Amor De Gorila,
2007-10-05,As Aparências Enganam,
2007-10-08,O Gato ,inédito em TV aberta
2007-10-09,Uma Babá Quase Perfeita,
2007-10-10,Nosso Amigo Frankenstein,
2007-10-11,Um Show De Verão,
2007-10-12,Barbie: Lago Dos Cisnes,
2007-10-15,Esqueceram De Mim 3,
2007-10-16,Do Que As Mulheres Gostam,
2007-10-17,"Ozzie, Um Coala Do Barulho",
2007-10-18,Os Irmãos Id & Ota,
2007-10-19,Batman: O Retorno,
2007-10-22,A Cor Do Amor: A História De Jacey,
2007-10-23,Geração X,
2007-10-24,De Volta À Lagoa Azul,
2007-10-25,D3: Nós Somos Os Campeões,
2007-10-26,Uma Dupla Quase Perfeita,
2007-10-29,O Preço De Uma Vida,
2007-10-30,Dose Dupla,
2007-10-31,"Elvira, A Rainha Das Trevas",
2007-11-01,Quase Feitos Um Para O Outro,
2007-11-02,Irmãos De Fé ,inédito em TV aberta
2007-11-05,Dr. Dolittle 2,
2007-11-06,Inspetor Bugiganga,
2007-11-07,Garota Veneno,
2007-11-08,Forças Do Destino,
2007-11-09,"Beethoven, O Magnifico",
2007-11-12,Encontro De Amor,
2007-11-13,Um Ninja Da Pesada,
2007-11-14,K-9: Um Policial Bom Pra Cachorro,
2007-11-15,Tainá: Uma Aventura Na Amazônia,
2007-11-16,O Caminho Para El Dorado,
2007-11-19,Noiva Em Fuga,
2007-11-20,O Pestinha,
2007-11-21,Como Água E Vinho,
2007-11-22,O Natal De Eloise,
2007-11-23,O Grande Dragão Branco,
2007-11-26,Doce Lar,
2007-11-27,As Regras De Max,
2007-11-28,Um Príncipe Em Nova York,
2007-11-29,A Maldição Do Halloween,
2007-11-30,Amigos Para Sempre,
2007-12-03,Castelo Rá-Tim-Bum: O Filme ,primeiro filme com vinheta HD
2007-12-04,Tudo Por Uma Esmeralda,
2007-12-05,O Sexto Homem,
2007-12-06,A Força,
2007-12-07,As Novas Aventuras De Riquinho,
2007-12-10,Pode-me Chamar De Noel,
2007-12-11,O Fantasma De Canterville,
2007-12-12,Hércules ,1997
2007-12-13,O Rapto Do Menino Dourado,
2007-12-14,Neve Pra Cachorro,
2007-12-17,O Príncipe Do Egito,
2007-12-18,Sabrina Vai A Roma,
2007-12-19,Sinbad: A Lenda Dos Sete Mares,
2007-12-20,Ciência Travessa,
2007-12-21,Barbie Em O Quebra Nozes,
2007-12-24,Meu Papai É Noel 2,
2007-12-25,Toy Story: Um Mundo De Aventuras,
2007-12-26,Chestnut: O Herói Do Central Park,
2007-12-27,A Princesa Encantada,
2007-12-28,Bebês Geniais,
2007-12-31,O Pequeno Stuart Little 2,
2006-01-02,Um Tira No Jardim De Infância,
2006-01-03,A Magia Das Fadas,
2006-01-04,Um Príncipe Em Nova York,
2006-01-05,Geração X,
2006-01-06,Mulan  ,1998
2006-01-09,Ghost: Do Outro Lado Da Vida,
2006-01-10,Um Craque Animal,
2006-01-11,Negócios Em Família,
2006-01-12,3 Ninjas Do Barulho,
2006-01-13,Para Sempre Cinderella,
2006-01-16,Confusão Na Austrália,
2006-01-17,História De Elza 2,
2006-01-18,A Princesa Encantada,
2006-01-19,A Maldição Do Halloween,
2006-01-20,Karatê Kid: A Hora Da Verdade,
2006-01-23,Xuxa Popstar,
2006-01-24,Nossa Querida Babá: O Conto De Fadas Continua,
2006-01-25,O Corcunda De Notre Dame  ,1996
2006-01-26,Air Bud Contra-Ataca,
2006-01-27,Galgameth,
2006-01-30,Sabrina Vai À Roma,
2006-01-31,Hercule E Sherlock,
2006-02-01,O Vôo Do Navegador,
2006-02-02,Spirit: O Corcel Indomável,
2006-02-03,O Homem Invisível,
2006-02-06,Príncipe Valent,
2006-02-07,"As Aventuras De Hubert, O Cão Herdeiro",
2006-02-08,Nosso Amigo Frankestein,
2006-02-09,Slappy E A Turma,
2006-02-10,Viajantes Do Futuro,
2006-02-13,Irmãos Gêmeos,
2006-02-14,O Mundo Fantástico De Oz,
2006-02-15,Foi Sem Querer,
2006-02-16,Cachorro Atômico,
2006-02-17,Police Story 2: Codinome Radical,
2006-02-20,Pequenos Guerreiros,
2006-02-21,O Príncipe Do Central Park,
2006-02-22,"Buddy, Meu Gorila Favorito",
2006-02-23,A Chave Mágica,
2006-02-24,Príncipe Guerreiro 3: O Olho Do Mal,
2006-02-27,Não Houve Exibição - Carnaval: Melhores Momentos dos Desfiles RJ,
2006-02-28,Não Houve Exibição - Carnaval: Melhores Momentos dos Desfiles RJ,
2006-03-01,Não Houve Exibição - Carnaval: Apuração RJ,
2006-03-02,De Volta À Lagoa Azul,
2006-03-03,3 Ninjas Em Apuros,
2006-03-06,Bebês Geniais 2: Super Bebês,
2006-03-07,The Wonders: O Sonho Não Acabou,
2006-03-08,Air Bud: Uma Jogada Perfeita,
2006-03-09,Teenagers: As Apimentadas,
2006-03-10,Power Rangers: O Filme,
2006-03-13,Beethoven 4,
2006-03-14,Dirty Dancing: Ritmo Quente,
2006-03-15,Um Ratinho Encrenqueiro,
2006-03-16,Pesos Pesados,
2006-03-17,Ninguém Segura Esse Bebê,
2006-03-20,Meu Primeiro Amor,
2006-03-21,Um Maluco No Golfe,
2006-03-22,Correndo Atrás,
2006-03-23,Duro De Agarrar,
2006-03-24,A Força,
2006-03-27,As Aventuras De Pinocchio,
2006-03-28,Difícil Decisão,
2006-03-29,Um Carro Eletrizante,
2006-03-30,Volta Por Cima,
2006-03-31,Um Ninja Da Pesada,
2006-04-03,A Família Buscapé,
2006-04-04,Procurando Por Lola,
2006-04-05,Madeline,
2006-04-06,Bingo: Esperto Pra Cachorro,
2006-04-07,Blankman: Um Super-Herói Muito Atrapalhado,
2006-04-10,Os Picaretas,
2006-04-11,O Homem Da Casa,
2006-04-12,Te Pego Lá Fora,
2006-04-13,Pequenos Grandes Astros ,inédito em TV aberta
2006-04-14,Jesus,
2006-04-17,Três Solteirões E Uma Pequena Dama,
2006-04-18,Coração De Dragão 2: Um Novo Começo,
2006-04-19,O Gênio Do Vídoegame,
2006-04-20,O Pai Da Noiva,
2006-04-21,Dinossauro ,inédito em TV aberta
2006-04-24,Tainá: Uma Aventura Na Amazônia,
2006-04-25,Matilda,
2006-04-26,O Mentiroso,
2006-04-27,Os Flintstones Em Viva Rock Vegas,
2006-04-28,Gasparzinho E Wendy,
2006-05-01,Casamento Grego,
2006-05-02,Um Pirado No Espaço,
2006-05-03,Evolução,
2006-05-04,Os Reis Da Praia,
2006-05-05,O Peste,
2006-05-08,"Querida, Estiquei O Bebê",
2006-05-09,Meu Primeiro Amor: Parte 2,
2006-05-10,Sinbad: Enlouquecendo Meu Guarda-Costas,
2006-05-11,Fuga De Atlântida,
2006-05-12,O Retorno Da Família Addams,
2006-05-15,A Lagoa Azul,
2006-05-16,Shiloh 2: Amigos Para Sempre,
2006-05-17,O Auto Da Compadecida,
2006-05-18,As Aparências Enganam,
2006-05-19,Viagem Ao Centro Da Terra,
2006-05-22,Feitiço Do Tempo,
2006-05-23,Quebrando O Gelo,
2006-05-24,O Pai Da Noiva 2,
2006-05-25,Famoso Pra Cachorro,
2006-05-26,Tubarão,
2006-05-29,Tudo Por Amor,
2006-05-30,Não Houve Exibição - Amistoso Da Seleção: Brasil x Lucerna,
2006-05-31,O Fantasma,
2006-06-01,O Milagre Dos Cães,
2006-06-02,O Pentelho,
2006-06-05,Mong E Lóide,
2006-06-06,Uma Babá Quase Perfeita,
2006-06-07,Um Dia Especial,
2006-06-08,Vôo Da Fantasia,
2006-06-09,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-12,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-13,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006: Brasil x Croácia,
2006-06-14,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-15,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-16,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-19,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-20,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-21,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-22,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006: Brasil x Japão,
2006-06-23,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-26,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-27,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-06-28,Velocidade Máxima,
2006-06-29,3 Ninjas Contra-Atacam,
2006-06-30,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006,
2006-07-03,Independence Day,
2006-07-04,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006: Alemanha x Itália,
2006-07-05,Não Houve Exibição - Copa Do Mundo FIFA Alemanha 2006: Portugal x França,
2006-07-06,Jumanji,
2006-07-07,O Defensor,
2006-07-10,Do Que As Mulheres Gostam,
2006-07-11,O Diário Da Princesa,
2006-07-12,"Querida, Encolhi As Crianças",
2006-07-13,O Grande Desafio,
2006-07-14,Parque Dos Dinossauros,
2006-07-17,Os Flintstones: O Filme,
2006-07-18,Dr. Dolittle 2,
2006-07-19,Hércules  ,1997
2006-07-20,O Demônio Na Garrafa,
2006-07-21,As Aventuras de Rocky & Bullwinkle,
2006-07-24,A Máscara Do Zorro,
2006-07-25,Feita Por Encomenda,
2006-07-26,Construindo Uma Carreira,
2006-07-27,O Carro Desgovernado,
2006-07-28,,
2006-07-31,Um Tira Da Pesada 3,
2006-08-01,Eloise No Plaza,
2006-08-02,Zamora: Um Amor De Gorila,
2006-08-03,Dois Pestinhas Em Apuros,
2006-08-04,Heck: Ninguém Segura Esse Cachorro,
2006-08-07,Nunca Fui Beijada,
2006-08-08,"Paulie, O Papagaio Bom De Papo",
2006-08-09,Pum! Emissão Impossível,
2006-08-10,Vivendo Um Conto De Fadas,
2006-08-11,Aterrissagem De Alto Risco,
2006-08-14,O Paizão,
2006-08-15,Os Batutinhas,
2006-08-16,Não Houve Exibição - Amistoso Da Seleção: Brasil x Noruega,
2006-08-17,Bud 3: Jogando Futebol,
2006-08-18,O Rapto Do Menino Dourado,
2006-08-21,Forças Do Destino,
2006-08-22,Jogada De Mestre 2: Totalmente Radical,
2006-08-23,As Aventuras De Max Keeble,
2006-08-24,O Mestre Do Disfarce,
2006-08-25,Gargantua,
2006-08-28,,
2006-08-29,Amigos Para Sempre,
2006-08-30,Como Água E Vinho ,inédito em TV aberta
2006-08-31,Olha Quem Está Falando,
2006-09-01,Top Gang 2: A Missão,
2006-09-04,Quando O Amor Acontece,
2006-09-05,Não Houve Exibição - Amistoso Da Seleção: Brasil x Holanda,
2006-09-06,Bebês Em Ação,
2006-09-07,Pocahontas: O Encontro De Dois Mundos ,inédito em TV aberta
2006-09-08,Guerreiros Da Virtude,
2006-09-11,As Patrcinhas De Beverly Hills,
2006-09-12,Não Houve Exibição - Mundial De Basquete Feminino,
2006-09-13,Não Houve Exibição - Mundial De Basquete Feminino,
2006-09-14,Não Houve Exibição - Mundial De Basquete Feminino,
2006-09-15,Milionário Num Instante,
2006-09-18,,
2006-09-19,Crossroads: Amigas Para Sempre,
2006-09-20,Aprendiz De Feiticeiro,
2006-09-21,Sempre Amigos,
2006-09-22,Desafio Mortal,
2006-09-25,MIB: Homens De Preto 2,
2006-09-26,Superpai,
2006-09-27,Ace Ventura 2: Um Maluco Na África,
2006-09-28,Sabrina Vai A Roma,
2006-09-29,Um Príncipe Em Nova York,
2006-10-02,Encontro de Amor,
2006-10-03,Confusão Na Austrália,
2006-10-04,Vovôs Em Hollyrock,
2006-10-05,Good Burger,
2006-10-06,O Pestinha,
2006-10-09,Nossa Querida Babá,
2006-10-10,Não Houve Exibição - Amistoso Da Seleção: Brasil x Equador,
2006-10-11,Jogada De Mestre,
2006-10-12,Sinbad: A Lenda Dos Sete Mares ,inédito em TV aberta
2006-10-13,As Aventuras De Pinocchio 2,
2006-10-16,O Pequeno Stuart Little,
2006-10-17,Lisbela E O Prisioneiro,
2006-10-18,Ghost: Do Outro Lado Da Vida,
2006-10-19,Foi Sem Querer,
2006-10-20,"Buffy, A Caça Vampiros",
2006-10-23,O Grande Mentiroso,
2006-10-24,Namorada De Aluguel,
2006-10-25,Minha Amiga Ursinha,
2006-10-26,Uma Escola Muito Doida,
2006-10-27,3 Ninjas Do Barulho,
2006-10-30,Para Sempre Cinderella,
2006-10-31,Um Caminho Para Dois,
2006-11-01,Curtindo A Vida Adoidado,
2006-11-02,Jesus,
2006-11-03,Barbie: Lago Dos Cisnes,
2006-11-06,Irmãos Gêmeos,
2006-11-07,Passe De Mágica,
2006-11-08,"Eddie, O Ídolo Pop",
2006-11-09,Só Você,
2006-11-10,O Trem Desgovernado ,1999
2006-11-13,Nossa Querida Babá: O Conto De Fadas Continua,
2006-11-14,American Ninja 5,
2006-11-15,Neve Pra Cachorro,
2006-11-16,As Novas Aventuras De Riquinho,
2006-11-17,Geração X,
2006-11-20,Velocidade Máxima 2,
2006-11-21,De Volta À Lagoa Azul,
2006-11-22,,
2006-11-23,Meu Primeiro Amor,
2006-11-24,Sabrina Na Austrália,
2006-11-27,X-Panzé,
2006-11-28,Crocodilo Dundee Em Hollywood,
2006-11-29,Pode-Me Chamar De Noel,
2006-11-30,"As Aventuras De Hubert, O Cão Herdeiro",
2006-12-01,Billy Madison: Um Herdeiro Bobalhão,
2006-12-04,Bud: O Cão Amigo,
2006-12-05,Milagre Na Rua 34,
2006-12-06,Bebês Geniais 2: Super Bebês,
2006-12-07,A Casa Mágica,
2006-12-08,Flubber: Uma Invenção Desmiolada,
2006-12-11,Motocross: A Aventura,
2006-12-12,O Encontro Do Natal,
2006-12-13,Rusty: O Grande Resgate,
2006-12-14,A Espada Era A Lei  ,1963
2006-12-15,3 Ninjas Em Apuros,
2006-12-18,Meu Papai É Noel 2 ,inédito em TV aberta
2006-12-19,Sempre Amigos,
2006-12-20,Barbie Em O Quebra Nozes,
2006-12-21,Shiloh: O Melhor Amigo,
2006-12-22,O Natal De Eloise,
2006-12-25,O Grinch ,2000
2006-12-26,O Príncipe Do Egito,
2006-12-27,Caçadoras De Aventuras,
2006-12-28,Um Craque Animal,
2006-12-29,Sem Licença Para Dirigir,
2005-01-03,Dr. Dolittle,
2005-01-04,Bebês Gênias,
2005-01-05,O Casamento Dos Trapalhões,
2005-01-06,O Príncipe Do Egito,
2005-01-07,Pequenos Guerreiros,
2005-01-10,Para Sempre Cinderella,
2005-01-11,Tainá: Uma Aventura na Amazônia,
2005-01-12,Titan,
