date,title,comments
2022-02-28,Garota Veneno,
2022-03-01,Nanny McPhee e as Lições Mágicas,
2022-03-02,De Repente Pai,
2022-03-03,Meu Monstro de Estimação,
2022-03-04,O Amor Dá Trabalho,
2022-03-07,O Melhor Amigo da Noiva,
2022-03-08,Uma Razão Para Vencer,
2022-03-09,O Amor Não Tira Férias,
2022-03-10,Que Haja Luz   ,título alternativo de A Luz Divina
2022-03-11,Coração de Tinta: O Livro Mágico,
2022-03-14,Encantada,
2022-03-15,Uma Questão de Fé ,inédito em TV aberta
2022-03-16,Click ,reclassificado para 12 anos
2022-03-17,Sob o Mesmo Céu,
2022-03-18,Um Santo Vizinho ,inédito em TV aberta
2022-03-21,Onde Nasce a Esperança,
2022-03-22,Plano B ,2010
2022-03-23,Uma Amizade Inesperada ,exceto para MG - Vale a Pena Ver de Novo e transmissão do Campeonato Mineiro: Caldense x Atlético-MG
2022-03-24,Juntos pelo Acaso,
2022-03-25,As Loucuras de Dick e Jane ,2005
2022-03-28,Sem Palavras  ,2018
2022-03-29,Meu Namorado é o Bicho,
2022-03-30,A Culpa é das Estrelas,
2022-03-31,Shrek Para Sempre,
2022-04-01,Sim Senhor ,exibição às 15h50
2022-04-04,Os Smurfs e a Vila Perdida,
2022-04-05,Um Perfil Para Dois ,inédito em TV aberta
2022-04-06,Vitórias de uma Vida,
2022-04-07,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Espanha,
2022-04-08,Tudo Por um Popstar,
2022-04-11,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Hungria,
2022-04-12,Sonhos de Papel ,reclassificado para 10 anos
2022-04-13,Como Se Fosse a Primeira Vez,
2022-04-14,A Hora do Rush 2,
2022-04-15,Hop: Rebelde Sem Páscoa,
2022-04-18,Pépequeno,
2022-04-19,À Procura do Amor,
2022-04-20,D.P.A.: Detetives do Prédio Azul 2 - O Mistério Italiano ,Inédito em TV aberta
2022-04-21,As Branquelas,
2022-04-22,A Volta do Todo Poderoso ,inédito na Globo; ex-RecordTV
2022-04-25,Cegonhas: A História Que Não Te Contaram ,exceto para o ES - Vale a Pena Ver de Novo: O Clone
2022-04-26,Não Houve Exibição - Carnaval Globeleza: Apuração dos Desfiles das Escolas de Samba,
2022-04-27,A Morte e Vida de Charlie,
2022-04-28,Um Amor à Altura,
2022-04-29,"Meu Amigo, O Dragão ",2016
2022-05-02,Os Pinguins de Madagascar ,2014
2022-05-03,De Repente 30,
2022-05-04,Mãos Talentosas: A História de Ben Carson,
2022-05-05,Licença Para Casar,
2022-05-06,A Luta Por um Ideal ,2012
2022-05-09,Um Bom Partido,
2022-05-10,O Que Te Faz Mais Forte,
2022-05-11,Meninas Malvadas,
2022-05-12,Cartas Para Deus,
2022-05-13,Maluca Paixão,
2022-05-16,Meu Malvado Favorito ,inédito na TV Globo; ex-RecordTV
2022-05-17,Casamento Grego 2,
2022-05-18,Megan Leavey,
2022-05-19,Um Tio Quase Perfeito 2 ,inédito em TV aberta
2022-05-20,Incontrolável,
2022-05-23,Coincidências do Amor,
2022-05-24,Incondicional,
2022-05-25,Portal dos Guerreiros,
2022-05-26,Idas e Vindas do Amor,
2022-05-27,Agente 86 ,2008
2022-05-30,Eu Sou o Número Quatro,
2022-05-31,Juntos A Magia Acontece ,"reprise do Especial de Natal de 2019 em homenagem póstuma ao ator Milton Gonçalves, falecido no dia anterior"
2022-06-01,Tudo e Todas as Coisas,
2022-06-02,Recém-Casados,
2022-06-03,O Grande Milagre,
2022-06-06,Um Faz de Conta Que Acontece,
2022-06-07,O Que de Verdade Importa,
2022-06-08,A Última Palavra,
2022-06-09,A Hora do Rush 3,
2022-06-10,Talvez uma História de Amor ,Inédito em TV aberta
2022-06-13,Jenny Vai Casar,
2022-06-14,Uma Prova de Amor,
2022-06-15,A Seleção ,2013
2022-06-16,Bater Ou Correr Em Londres,
2022-06-17,Os Parças 2,
2022-06-20,Esposa de Mentirinha,
2022-06-21,O Livro do Amor,
2022-06-22,Viva: A Vida é Uma Festa,
2022-06-23,O Auto da Compadecida ,reclassificado para 12 anos
2022-06-24,A Bússola de Ouro ,"exibição às 16h, após Amistoso da Seleção Feminina: Brasil x Dinamarca"
2022-06-27,Divórcio,
2022-06-28,"Eu, Robô ","exibição às 15h30, após Amistoso da Seleção Feminina: Brasil x Suécia"
2022-06-29,Minions ,inédito na TV Globo; ex-RecordTV
2022-06-30,Bem-Vindo à Vida,
2022-07-01,Uma Família em Apuros,
2022-07-04,A Pantera Cor-de-Rosa 2,
2022-07-05,Turma da Mónica: Laços,
2022-07-06,Nossa Vida com Cães,
2022-07-07,Os Estagiários,
2022-07-08,Kung Fu Panda 3,
2022-07-11,Procurando Nemo,
2022-07-12,Um Presente Para Helen,
2022-07-13,Férias da Família Johnson,
2022-07-14,Mamãe Saiu de Férias,
2022-07-15,Megamente,
2022-07-18,Miss Simpatia 2: Armada e Poderosa ,início da temporada da Sessão da Tarde de Férias
2022-07-19,O Pequeno Príncipe ,2015
2022-07-20,A Fabulosa Gilly Hopkins,
2022-07-21,A Nova Cinderela,
2022-07-22,Rio 2 ,término da temporada da Sessão da Tarde de Férias
2022-07-25,Sem Reservas,
2022-07-26,Christopher Robin: Um Reencontro Inesquecível ,inédito em TV aberta
2022-07-27,As Férias da Minha Vida,
