date,title,comments,id,english_title,release_date,vote_average
2022-01-18,Gente Grande,,38365,Grown Ups,2010-06-24,6.357
2022-01-17,Kung Fu Panda 2,,49444,Kung Fu Panda 2,2011-05-25,6.957
2022-01-31,Os Incríveis,(término da temporada da Sessão da Tarde de Férias),668508,Os Incríveis Neste Mundo Louco,1967-06-26,0.0
2022-02-01,Questão de Tempo,,49060,Tempo,2003-06-17,4.5
2022-05-24,Incondicional,,1047856,Incondicional,2022-11-13,0.0
2022-05-23,Coincidências do Amor,,41210,The Switch,2010-05-11,6.246
2022-05-11,Meninas Malvadas,,10625,Mean Girls,2004-04-30,7.182
2022-05-25,Portal dos Guerreiros,,413658,The Warriors Gate,2016-11-18,6.613
2022-05-26,Idas e Vindas do Amor,,32856,Valentine's Day,2010-02-10,5.901
2022-02-22,O Bom Filho à Casa Torna,,13490,Welcome Home Roscoe Jenkins,2008-02-08,6.0
2022-03-08,Uma Razão Para Vencer,,425373,The Miracle Season,2018-04-13,7.3
2022-02-03,Hitch: Conselheiro Amoroso,,8488,Hitch,2005-02-11,6.548
2022-03-09,O Amor Não Tira Férias,,1581,The Holiday,2006-12-08,7.1
2022-03-10,,(inédito em TV aberta),,,,
2022-05-13,Maluca Paixão,,23706,All About Steve,2009-08-06,4.939
2022-05-12,Cartas Para Deus,,35691,Letters to God,2010-04-09,6.995
2022-02-18,Uma Aventura e Tanto,,470205,The Stray,2017-10-06,6.121
2022-02-21,Quatro Vidas de um Cachorro,,381289,A Dog's Purpose,2017-01-19,7.613
2022-03-07,O Melhor Amigo da Noiva,,10761,Made of Honor,2008-04-30,6.431
2022-02-17,O Terno de 2 Bilhões de Dólares,,10771,The Tuxedo,2002-09-27,5.705
2022-01-13,O Medalhão,,10610,The Medallion,2003-08-15,5.583
2022-03-24,Juntos pelo Acaso,,38408,Life As We Know It,2010-10-02,6.908
2022-03-23,Uma Amizade Inesperada,(exceto para MG - Vale a Pena Ver de Novo e transmissão do Campeonato Mineiro: Caldense x Atlético-MG),568994,Driveways,2020-12-17,6.977
2022-04-13,Como Se Fosse a Primeira Vez,,555790,As If It Were the First Time,2019-08-30,6.837
2022-05-20,Incontrolável,,10361,Ginger Snaps 2: Unleashed,2004-01-30,6.445
2022-05-18,Megan Leavey,,424488,Megan Leavey,2017-06-09,7.282
2022-05-03,De Repente 30,,10096,13 Going on 30,2004-04-13,6.723
2022-05-17,Casamento Grego 2,,302688,My Big Fat Greek Wedding 2,2016-03-23,5.934
2022-05-04,Mãos Talentosas: A História de Ben Carson,,22683,Gifted Hands: The Ben Carson Story,2009-02-07,7.815
2022-04-12,Sonhos de Papel,(reclassificado para 10 anos),41965,Paperhouse,1988-09-10,6.684
2022-04-15,Hop: Rebelde Sem Páscoa,,50359,Hop,2011-03-30,5.739
2022-04-14,A Hora do Rush 2,,5175,Rush Hour 2,2001-08-03,6.699
2022-05-27,Agente 86,,11665,Get Smart,2008-06-19,6.169
2022-06-09,A Hora do Rush 3,,5174,Rush Hour 3,2007-08-08,6.421
2022-05-30,Eu Sou o Número Quatro,,46529,I Am Number Four,2011-02-18,6.177
2022-06-08,A Última Palavra,,769621,A Última Palavra é a Penúltima,2012-06-13,0.0
2022-06-03,O Grande Milagre,,97659,The Greatest Miracle,2011-10-14,8.0
2022-06-06,Um Faz de Conta Que Acontece,,10202,Bedtime Stories,2008-12-24,6.132
2022-06-07,O Que de Verdade Importa,,340270,The Healer,2017-02-17,7.168
2022-06-20,Esposa de Mentirinha,,50546,Just Go with It,2011-02-10,6.674
2022-06-23,O Auto da Compadecida,(reclassificado para 12 anos),40096,A Dog's Will,2000-09-15,8.389
2022-06-13,,,,,,
2022-06-22,Viva: A Vida é Uma Festa,,354912,Coco,2017-10-27,8.223
2022-06-14,Uma Prova de Amor,,102599,Zeca Pagodinho: DVD MTV Especial - Uma Prova de Amor ao Vivo,2009-01-01,0.0
2022-06-21,O Livro do Amor,,26123,American Pie Presents: The Book of Love,2009-12-04,5.273
2022-06-16,Bater Ou Correr Em Londres,,6038,Shanghai Knights,2003-02-06,6.126
2022-06-17,Os Parças 2,,623780,Os Parças 2,2019-11-14,7.1
2022-06-02,Recém-Casados,,68941,I Do...Knot,2009-08-28,7.5
2022-06-01,Tudo e Todas as Coisas,,417678,"Everything, Everything",2017-05-18,7.251
