date,title,comments,release_year
2021-10-08,Fora do Rumo,,
2021-10-11,O Diário da Princesa,,
2021-10-12,Shrek Para Sempre,,
2021-10-13,Cavalo de Guerra,,
2021-10-14,Cidades de Papel,,
2021-10-15,A Luta Por um Ideal,,
2021-10-18,Insubstituível,,
2021-10-19,De Repente 30,,
2021-10-20,"Eu, Robô",,
2021-10-21,Um Dia,,
2021-10-22,Casamento Grego 2,,
2021-10-25,Uma Prova de Amor,,
2021-10-26,Muito Bem Acompanhada,,
2021-10-27,A Última Palavra,,
2021-10-28,Romeu e Julieta,(reclassificado para 14 anos),2013
2021-10-29,Super Escola de Heróis,,
2021-11-01,Como Treinar o Seu Dragão 2,,
2021-11-02,O Bom Gigante Amigo,(somente para SP e PR / os outros estados  acompanham o Vale a Pena Ver de Novo e Brasileirão: Athletico-PR x Flamengo),
2021-11-03,Arthur: O Milionário Irresistível,,
2021-11-04,Incondicional,(inédito em TV aberta),
2021-11-05,O Que Esperar Quando Você Está Esperando,,
2021-11-08,Esposa de Mentirinha,(reclassificado para 12 anos),
2021-11-09,Intocáveis,,2011
2021-11-10,Sem Reservas,,
2021-11-11,Chocante,,
2021-11-12,Bater ou Correr em Londres,,
2021-11-15,As Mil Palavras,,
2021-11-16,"Nossa União, Muita Confusão",(exceto para MG - Vale a Pena Ver de Novo e transmissão do Brasileirão: Athletico-PR x Atlético-MG),
2021-11-17,Mãos Talentosas: A História de Ben Carson,,
2021-11-18,Tudo e Todas as Coisas,,
2021-11-19,MIB: Homens de Preto 2,,
2021-11-22,Viagem ao Centro da Terra: O Filme,,
2021-11-23,O Dilema,,
2021-11-24,A Creche do Papai,(retorno a Globo; ex-SBT),
2021-11-25,A Conselheira Amorosa,,
2021-11-26,Tô Ryca,,
2021-11-29,Beleza Oculta,,
2021-11-30,Um Presente Especial,,
2021-12-01,Resgate Abaixo de Zero,,
2021-12-02,Enrolados,,
2021-12-03,Maria do Caritó,(término da exibição após o Jornal Hoje),
2021-12-06,Rio 2,"(em novo horário, após O Cravo e a Rosa)",
2021-12-07,A Pantera Cor-de-Rosa 2,(inédito na TV Globo; ex-RecordTV),
2021-12-08,Depois da Terra,,
2021-12-09,Fazenda dos Cisnes,,
2021-12-10,Os Parças 2,,
2021-12-13,Hotel Transilvânia 2,,
2021-12-14,Um Faz de Conta Que Acontece,,
2021-12-15,Sully: O Herói do Rio Hudson,,
2021-12-16,"Um Natal Muito, Muito Louco",,
2021-12-17,"Fala Sério, Mãe!",,
2021-12-20,O Expresso Polar,(inédito na TV Globo; ex-SBT),
2021-12-21,Menores Desacompanhados,,
2021-12-22,O Natal dos Coopers,(inédito em TV aberta),
2021-12-23,O Quebra-Nozes,(inédito na TV Globo; ex-RecordTV),2010
2021-12-24,10 Horas Para o Natal,(inédito em TV aberta),
2021-12-27,O Pequeno Príncipe,,2016
2021-12-28,Uma Família em Apuros,,
2021-12-29,Truque de Mestre,,
2021-12-30,Turma da Mônica: Laços,,
2021-12-31,Noite de Ano Novo,(inédito em TV aberta),
2020-01-01,Shrek Terceiro,,
2020-01-02,Descendentes,,
2020-01-03,A Lenda do Tesouro Perdido,,
2020-01-06,Tá Chovendo Hambúrguer 2,,
2020-01-07,O Último Mestre do Ar,,
2020-01-08,Os Pinguins do Papai,,
2020-01-09,No Mundo da Lua,(inédito em TV aberta),
2020-01-10,A Montanha Enfeitiçada,(início da temporada da Sessão da Tarde de Férias),2009
2020-01-13,Festa no Céu,,
2020-01-14,MIB: Homens de Preto 3,,
2020-01-15,As Viagens de Gulliver,,
2020-01-16,Monstros vs. Alienígenas,,
2020-01-17,A Bússola de Ouro,,
2020-01-20,Os Smurfs,,
2020-01-21,Acampamento do Papai,,
2020-01-22,Professor Peso Pesado,,
2020-01-23,Cegonhas: A História Que Não Te Contaram,(inédito em TV aberta),
2020-01-24,Viagem ao Centro da Terra: O Filme,,
2020-01-27,Minha Mãe é uma Peça: O Filme,,
2020-01-28,Tio Papi,,
2020-01-29,Monstros S.A.,(exceto para MG - MG1 Especial: Chuvas em Belo Horizonte),
2020-01-30,Férias da Família Johnson,,
2020-01-31,O Medalhão,(reclassificado para 12 anos / término da temporada da Sessão da Tarde de Férias),
2020-02-03,A Proposta,(reclassificado para 12 anos),2009
2020-02-04,A Última Música,,
2020-02-05,Duas de Mim,,
2020-02-06,Jenny Vai Casar,(inédito em TV aberta),
2020-02-07,De Repente 30,,
2020-02-10,À Procura da Felicidade,,
2020-02-11,Meu Namorado é o Bicho,(inédito em TV aberta),
2020-02-12,Casa Comigo?,,
2020-02-13,Somos Todos Iguais,(inédito em TV aberta),
2020-02-14,As Branquelas,,
2020-02-17,Uma Manhã Gloriosa,(reclassificado para 10 anos),
2020-02-18,Paixão de Aluguel,,
2020-02-19,Simplesmente Complicado,,
2020-02-20,Tudo é Possível,,
2020-02-21,Qualquer Gato Vira-Lata,,
2020-02-24,Kung Fu Panda,,
2020-02-25,Piratas do Caribe: O Baú da Morte,(exceto para SP - Carnaval Globeleza: Apuração SP),
2020-02-27,Virada Radical,,
2020-02-28,A Lenda do Tesouro Perdido: Livro dos Segredos,,
2020-03-02,Miss Simpatia 2: Armada e Poderosa,,
2020-03-03,E Se Fosse Verdade,,
2020-03-04,Quase Casadas,,
2020-03-05,Um Presente para Helen,,
2020-03-06,Meu Passado Me Condena 2,,
2020-03-09,Ela é a Poderosa,,
2020-03-11,Cavalo de Guerra,,
2020-03-12,A Conselheira Amorosa,,
2020-03-13,"Meu Nome é Taylor, Drillbit Taylor",,
2020-03-16,Uma Mãe Para o Meu Bebê,(após a última edição diária do Se Joga),
2020-03-17,O Diário da Princesa,"(em novo horário, após o Jornal Hoje)",
2020-03-18,"Loucas Por Amor, Viciadas em Dinheiro",,
2020-03-19,Quarteto Fantástico,,2005
2020-03-20,Vovó... Zona 2,,
2020-03-23,Segurança de Shopping,,
2020-03-24,Fazenda dos Cisnes,,
2020-03-25,Bater ou Correr,,
2020-03-26,Um Amor Verdadeiro,,2014
2020-03-27,Gigantes de Aço,,
2020-03-30,Pai em Dose Dupla,,
2020-03-31,Imagine Só,,
2020-04-01,Esposa de Mentirinha,,
2020-04-02,Detetives do Prédio Azul (D.P.A.): O Filme,,
