date,title,comments,release_year
2012-08-29,Tainá 2: A Aventura Continua,,
2012-08-30,Leis da Atração,,
2012-08-31,Pequenos Espiões 2: A Ilha dos Sonhos Perdidos,,
2012-09-03,Letra e Música,"(inédito na Globo, ex-SBT)",
2012-09-04,Alaska: Uma Aventura Inacreditável,,
2012-09-05,Procura Obsessiva,,
2012-09-06,O Mar Não Está pra Peixe,,
2012-09-10,Garfield: O Filme,"(inédito na Globo, ex-Record)",
2012-09-11,Sorte no Amor,,2006
2012-09-12,Mansão Mal-Assombrada,,
2012-09-13,Arrebentando em Nova York,,
2012-09-14,Bee Movie: A História de uma Abelha,,
2012-09-17,O Mistério da Libélula,,
2012-09-18,Em Busca da Princesa dos Mitos,,
2012-09-19,Gracie,,
2012-09-20,Nossa Querida Babá 3: Uma Aventura no Paraíso,,
2012-09-21,Dr. Dolittle 4,,
2012-09-24,Uma Casa de Pernas pro Ar,,
2012-09-25,Mudança de Hábito,,
2012-09-26,ABC do Amor,,
2012-09-27,A Bruxa do Bem,,
2012-09-28,Space Chimps: Micos no Espaço,,
2012-10-01,Afinado no Amor,,
2012-10-02,Animal,,2001
2012-10-03,De Repente 30,,
2012-10-04,Deu a Louca na Cinderela,,
2012-10-05,A Hora da Virada,,
2012-10-08,A Família do Futuro,,
2012-10-09,Xuxa em: O Mistério de Feiurinha,(inédito em TV aberta),
2012-10-10,A Fuga das Galinhas,,
2012-10-12,Uma Noite no Museu,,
2012-10-15,Recém-Formada,,
2012-10-16,Eragon,,
2012-10-17,Um Lugar Chamado Notting Hill,,
2012-10-18,Um Ratinho Encrenqueiro,,
2012-10-19,Johnny Kapahala: De Volta ao Havaí,,
2012-10-22,"Loucas por Amor, Viciadas em Dinheiro",,
2012-10-23,Milagre na Pista 2,,
2012-10-24,As Namoradas do Papai,,
2012-10-25,Em Boa Companhia,,
2012-10-26,Programa de Proteção para Princesas,,
2012-10-29,Acampamento do Papai,,
2012-10-30,Material Girls,,
2012-10-31,Ace: Uma Questão de Justiça,,
2012-11-01,Deu a Louca na Branca de Neve,,
2012-11-02,Se Eu Fosse Você,,
2012-11-05,O Medalhão,,
2012-11-06,O Amor Acontece,,
2012-11-07,Os Meninos Voadores,,
2012-11-08,Um Lugar para Recomeçar,(reclassificado para 10 anos),
2012-11-09,Sempre ao Seu Lado,,
2012-11-12,E Se Fosse Verdade,,
2012-11-13,O Príncipe e o Vira-Lata,,
2012-11-14,O Melhor Amigo da Noiva,,
2012-11-15,Pinóquio,(inédito em TV aberta),1940
2012-11-16,Três Ladrões e um Bebê,,
2012-11-19,Um Tira Muito Suspeito,,
2012-11-20,Shrek 2,,
2012-11-21,O Homem Bicentenário,,
2012-11-22,Sobrevivendo ao Natal,,
2012-11-23,Escola de Espiões,,
2012-11-26,Tentação Fatal,,
2012-11-27,O Pai da Noiva,,
2012-11-28,"Seis Dias, Sete Noites",,
2012-11-29,Dança Comigo?,,
2012-11-30,Sexta-Feira Muito Louca,,
2012-12-03,O Diário da Princesa 2,,
2012-12-04,Duplex,,
2012-12-05,A Moedinha da Sorte,,
2012-12-06,Quatro Amigas e um Jeans Viajante,,
2012-12-07,Poderoso Joe,,1998
2012-12-10,Neve pra Cachorro,,
2012-12-11,O Resgate do Papai,,
2012-12-12,Vovó... Zona,,
2012-12-13,Whitney Brown,(inédito em TV aberta),
2012-12-14,Caçadores de Dragões,,
2012-12-17,Uma Garota Encantada,,
2012-12-18,Quando o Amor Acontece,,
2012-12-19,Best Player: Guerreiros Virtuais,(inédito em TV aberta),
2012-12-20,Dr. Dolittle 5,,
2012-12-21,Menores Desacompanhados,"(inédito na Globo, ex-SBT)",
2012-12-24,Jesus: A História do Nascimento,,
2012-12-25,Apenas Amigos,(reclassificado para 10 anos),
2012-12-26,Twitches: As Bruxinhas Gêmeas,,
2012-12-27,Nunca Fui Beijada,,
2012-12-28,Space Jam: O Jogo do Século,"(inédito na Globo, ex-SBT)",
2012-12-31,O Terno de 2 Bilhões de Dólares,,
2011-01-03,High School Musical,,
2011-01-04,Vida De Inseto,,
2011-01-05,O Diário Da Princesa,,
2011-01-06,A Família Da Noiva,,
2011-01-07,Peter Pan,,2003
2011-01-10,Homem-Aranha,,2002
2011-01-11,O Mar Não Está Pra Peixe,,
2011-01-12,Matilda,,
2011-01-13,A Filha Do Presidente,,
2011-01-14,A Creche Do Papai,,
2011-01-17,Robôs,,
2011-01-18,Agora Você Vê...,,
2011-01-19,Vovó...Zona 2,,
2011-01-20,Entrando Numa Fria Maior Ainda,,
2011-01-21,K-9: Um Policial Bom Pra Cachorro,,
2011-01-24,Como Se Fosse A Primeira Vez,,
2011-01-25,Toy Story: Um Mundo De Aventuras,,
2011-01-26,"Bailey, Um Cão Que Vale Milhões",,
2011-01-27,Johnny Kapahala: De Volta Ao Havaí,,
2011-01-28,Inspetor Bugiganga 2,,
2011-01-31,O Amor É Cego,,
2011-02-01,MIB: Homens De Preto,,
2011-02-02,Xuxa E O Tesouro Da Cidade Perdida,,
2011-02-03,Sabrina Vai A Roma,,
2011-02-04,Demolidor: O Homem Sem Medo,,
2011-02-07,Um Show De Verão,,
2011-02-08,"Charlie, Em Ritmo De Aventura",,
2011-02-10,A Cidade Do Halloween,,
2011-02-11,Pixel: A Garota Perfeita,,
2011-02-14,Garota Veneno,,
2011-02-15,Um Caminho Para Dois,,
2011-02-16,A Casa Inteligente,,
2011-02-17,O Céu Pode Esperar,,
2011-02-18,"George, O Rei Da Floresta",,1997
2011-02-21,Loucuras Na Idade Média,,
2011-02-22,Pesos Pesados,,
2011-02-23,Ping!,(inédito em TV aberta),
2011-02-24,As Patricinhas De Beverly Hills,,
2011-02-25,Velocidade Máxima 2,,
2011-02-28,A Fuga Das Galinhas,,
2011-03-01,"Harriet, A Espiã: Guerra Dos Blogs",(inédito em TV aberta),
2011-03-02,Resgate Abaixo De Zero,,
2011-03-03,As Aventuras De Sharkboy E Lavagirl,,
2011-03-04,Do Que As Mulheres Gostam,,
2011-03-07,Didi Quer Ser Criança,,
2011-03-10,O Cachorro Bombeiro,,
2011-03-11,Ela É Demais,,
2011-03-14,O Diário Da Princesa 2,,
2011-03-15,Spymate: O Agente Animal,,
2011-03-16,Xuxa Abracadabra,,
2011-03-17,Sonhadora,,
2011-03-18,Monstros S.A.,,
2011-03-21,Dr. Dolittle,,
2011-03-22,Doze É Demais 2,,
2011-03-23,Cupido: A Magia Do Amor,,
2011-03-24,O Pequeno Stuart Little 2,,
2011-03-25,Hércules,,1997
2011-03-28,Entrando Numa Fria,,
2011-03-29,The Cheetah Girls: Um Mundo,,
2011-03-30,A Bruxa Do Bem,,
2011-03-31,Cop Dog: O Cão Policial,(inédito em TV aberta),
2011-04-01,Tentação Fatal,,
2011-04-04,Toy Story 2,,
2011-04-05,Dirty Dancing: Ritmo Quente,,
2011-04-06,Gol!,,
2011-04-07,Uma Cavaleira Em Camelot,,
2011-04-08,Zathura: Uma Aventura Espacial,,
2011-04-11,Uma Casa De Pernas Pro Ar,,
2011-04-12,Duplex,,
2011-04-13,High School Musical 2,,
2011-04-14,Spirit: O Corcel Indomável,,
2011-04-15,Lisbela E O Prisioneiro,,
2011-04-18,Os 102 Dálmatas,,
2011-04-19,Sabrina Na Austrália,,
2011-04-20,Deu A Louca Na Branca De Neve,(inédito em TV aberta),
2011-04-21,Dr. Dolittle 4,(inédito em TV aberta),
2011-04-22,Maria: Mãe Do Filho De Deus,,
2011-04-25,Doze É Demais,,
2011-04-26,Os Seis Signos Da Luz,,
2011-04-28,A Boneca Que Virou Gente,,
2011-04-29,O Galinho Chicken Little,,
2011-05-02,Animal,,2001
2011-05-04,Pequenos Espiões,,
2011-05-05,Irmão Urso,,
2011-05-06,Recém-Casados,,
2011-05-09,Caçadores De Dragões,(inédito em TV aberta),
2011-05-10,Um Encontro Com Seu Ídolo!,,
2011-05-11,Os Feiticeiros de Waverly Place: O Filme,(inédito em TV aberta),
2011-05-12,A Verdadeira Família,(inédito em TV aberta),
2011-05-13,Volcano: A Fúria,,
2011-05-16,Um Príncipe Em Minha Vida 2: O Casamento Real,,
2011-05-17,Minutemen: Os Viajantes Do Tempo,(inédito em TV aberta),
2011-05-18,A Menina E O Porquinho,,2006
2011-05-19,Como Água E Vinho,,
2011-05-20,Eragon,,
2011-05-23,Acampamento Do Papai,,
2011-05-24,Dr. Dolittle 3,,
2011-05-25,Crossroads: Amigas Para Sempre,,
2011-05-26,Nem Que A Vaca Tussa,,
2011-05-27,A Hora Da Virada,,
2011-05-30,O Medalhão,,
2011-05-31,Programa De Proteção Para Princesas,(inédito em TV aberta),
2011-06-01,O Resgate Do Papai,(inédito em TV aberta),
2011-06-02,Jump In!,,
2011-06-03,Zoom: Academia De Super-Heróis,,
2011-06-06,A Moedinha Da Sorte,,
2011-06-07,Encontro De Amor,,
2011-06-08,Dando Um Tempo,(inédito em TV aberta),
2011-06-09,Halloweentown 2: A Vingança De Kalaba,,
2011-06-10,Bebês Em Ação,,
2011-06-13,MIB: Homens De Preto 2,,
2011-06-14,Kate &amp; Leopold,,
2011-06-15,Pesadelo Nas Alturas,,
2011-06-16,Twitches: As Bruxinhas Gêmeas,,
2011-06-17,Três Ladrões E Um Bebê,,
2011-06-20,True Lies,,
2011-06-21,De Repente 30,,
2011-06-22,Espanglês,,
2011-06-23,Transformers,,2007
2011-06-24,Desventuras Em Série,,
2011-06-27,O Terminal,,
2011-06-28,Um Tira No Jardim De Infância,,
2011-06-29,Um Príncipe Em Minha Vida,,
2011-06-30,Um Ratinho Encrenqueiro,,
2011-07-01,Super Escola De Heróis,,
2011-07-04,Herbie: Meu Fusca Turbinado,,
2011-07-05,Piratas Modernos,,
2011-07-06,"Bogus, Meu Amigo Secreto",,
2011-07-07,Sinbad: Enlouquecendo Meu Guarda-Costas,,
2011-07-08,Evolução,,
2011-07-11,Aquamarine,,
2011-07-12,Ninguém Segura Esses Fantasmas,(inédito em TV aberta),
2011-07-13,Treinadora Por Acaso,,
2011-07-14,A Caixa De Pandora,,
2011-07-15,Deu A Louca Na Cinderela,,
2011-07-18,Pinocchio 3000,(inédito em TV aberta),
2011-07-19,Mamãe Saiu Com Um Vampiro,,
2011-07-20,"Didi, O Cupido Trapalhão",,
2011-07-21,Ciência Travessa,,
2011-07-22,O Pestinha,,
2011-07-25,O Paizão,,
2011-07-26,Operação Cupido,,1998
2011-07-27,Meu Tio Matou Um Cara,,
2011-07-28,Wendy Wu: A Garota Kung Fu,,
2011-07-29,Mudança De Hábito 2: Mais Loucuras No Convento,,
2011-08-01,Pequenos Grandes Astros,,
2011-08-02,Velocidade Máxima,,
2011-08-03,Dois Cachorrinhos Milagrosos,,
2011-08-04,Férias Da Família Johnson,,
2011-08-05,Ghost: Do Outro Lado Da Vida,,
2011-08-08,Quando O Amor Acontece,,
2011-08-09,Johnny Tsunami: O Surfista Da Neve,,
2011-08-11,As Namoradas Do Papai,,
2011-08-12,Os Viajantes Do Tempo,,
2011-08-15,Para Sempre Cinderella,,
2011-08-16,Abracadabra,,
2011-08-17,Shiloh 2: Amigos Para Sempre,,
2011-08-18,O 13º Aniversário,,
2011-08-19,Os Meninos Voadores,,
2011-08-22,À Procura Da Felicidade,,
2011-08-23,High School Musical,,
2011-08-24,Voando Alto,,
2011-08-25,Cãofusões,,
2011-08-26,Querem Acabar Comigo,,
2011-08-29,Garfield 2,,
2011-08-30,As Férias Da Minha Vida,,
2011-08-31,Tá Todo Mundo Louco,,
2011-09-01,Peter Pan,,2003
2011-09-02,Vovó...Zona,,
2011-09-06,Como Se Fosse A Primeira Vez,,
2011-09-07,Os Incríveis,,
2011-09-08,A Filha Do Presidente,,2004
2011-09-09,MIB: Homens De Preto,,
2011-09-12,A Família Da Noiva,,
2011-09-13,O Diário Da Princesa,,
2011-09-14,Annapolis,,
2011-09-15,Matilda,,
2011-09-16,FormiguinhaZ,,
2011-09-19,O Diário De Uma Babá,,
2011-09-20,Clockstoppers: O Filme,,
2011-09-21,"George, O Rei Da Floresta",,1997
2011-09-22,O Outro Eu,,
2011-09-23,Dr. Dolittle 2,,
2011-09-26,Táxi,,2004
2011-09-27,Robôs,,
2011-09-28,Garota Veneno,,
2011-09-29,Um Caminho Para Dois,,
2011-09-30,Independence Day,,
2011-10-03,10 Coisas Que Eu Odeio Em Você,,
2011-10-04,Procura Obsessiva,,
2011-10-05,Amor Por Acidente,,
2011-10-06,Belas E Mimadas,,
2011-10-07,O Amor É Cego,,
2011-10-10,Os Caçadores Da Arca Perdida,,
2011-10-11,Selvagem,,
2011-10-13,Xuxa Popstar,,
2011-10-14,Resgate Abaixo De Zero,,
2011-10-17,Click,,
2011-10-18,De Volta À Lagoa Azul,,
2011-10-19,O Pequeno Stuart Little,,
2011-10-20,Loucuras Na Idade Média,,
2011-10-21,Sabrina Vai À Roma,,
2011-10-24,Vestida Para Casar,,
2011-10-25,Nas Profundezas Do Mar Sem Fim,,
2011-10-26,A Família Buscapé,,
2011-10-27,Quatro Amigas E Um Jeans Viajante,"(inédito na Globo, ex-SBT)",
2011-10-28,Entrando Numa Fria,,
2011-10-31,Casamento Grego,,
2011-11-01,A Herança De Mr. Deeds,,
2011-11-02,Shrek,,
2011-11-03,A Feiticeira,,2005
2011-11-04,H2O: Meninas Sereias,,
2011-11-07,Nunca É Tarde Para Amar,,
2011-11-08,Quase Feitos Um Para O Outro,,
2011-11-09,Duas Vidas,,
2011-11-11,Demolidor: O Homem Sem Medo,,
2011-11-14,Tá Dando Onda,,
2011-11-15,Super-Herói: O Filme,,
2011-11-16,Enquanto Você Dormia,,
2011-11-17,A Bruxa Do Bem,,
2011-11-18,O Mistério Da Libélula,,
2011-11-21,Mudança De Hábito,,
2011-11-22,ABC Do Amor,,
2011-11-23,A Casa Inteligente,,
2011-11-24,Em Busca Do Coração De David,,
2011-11-25,Alex Rider Contra O Tempo,,
2011-11-28,Dirty Dancing: Ritmo Quente,,
2011-11-29,Pequenos Espiões 2: A Ilha Dos Sonhos Perdidos,,
2011-11-30,O Anel Da Luz Eterna,,
2011-12-01,Um Lugar Chamado Notting Hill,,
2011-12-02,Snow Buddies: Uma Aventura De Gelo,(inédito em TV aberta),
2011-12-05,Resgate De Uma Vida,(inédito em TV aberta),
2011-12-06,Twitches: As Bruxinhas Gêmeas 2,,
2011-12-07,A História De Waylon,,
2011-12-08,Confusão Pra Cachorro,,
2011-12-09,O Presente De Natal Perfeito,"(inédito na Globo, ex-SBT)",
2011-12-12,Outono Em Nova York,,
2011-12-13,"George, O Rei Da Floresta 2",,
2011-12-14,Sobrevivendo Ao Natal,,
2011-12-15,Sabrina Na Austrália,,
2011-12-16,Os Porralokinhas,,
2011-12-19,A Bela E A Fera: O Natal Encantado,(inédito em TV aberta),
2011-12-20,Zathura: Uma Aventura Espacial,,
2011-12-21,A Boneca Que Virou Gente,,
2011-12-22,Escola De Espiões,(inédito em TV aberta),
2011-12-23,"Um Natal Muito, Muito Louco",,
2011-12-26,O Pequeno Stuart Little 2,,
2011-12-27,Zenon: A Garota Do Século 21,,
2011-12-28,Nossa Querida Babá 3: Uma Aventura No Paraíso,(inédito em TV aberta),
2011-12-29,Milagre Na Pista 2,,
2011-12-30,Dr. Dolittle 4,,
2010-01-01,Camp Rock,,
2010-01-04,Lilo &amp; Stitch,,2002
2010-01-05,Agora Você Vê...,,
2010-01-06,Barbie Como Rapunzel,,
2010-01-07,Um Show De Verão,,
2010-01-08,Virada Radical,,
2010-01-11,Doze É Demais,,
2010-01-12,O Pequeno Stuart Little,,
2010-01-13,"Simão, O Fantasma Trapalhão",,
2010-01-14,O Mar Não Está Pra Peixe,,
2010-01-15,Zoom: Academia De Super Heróis,,
2010-01-18,As Feras Da Música,,
2010-01-19,Charlie: Em Ritmo De Aventura,,
2010-01-20,Mudança De Comportamento,,
2010-01-21,Cãofusões,,
2010-01-22,Vida De Inseto,,
2010-01-25,Lisbela E O Prisioneiro,,
2010-01-26,A Cidade Do Halloween,,
2010-01-27,As Namoradas Do Papai,,
2010-01-28,Quebrando O Gelo,,
2010-01-29,Se O Meu Fusca Falasse,,
2010-02-01,Twitches: As Bruxinhas Gêmeas 2,,
2010-02-02,Segurem Essas Crianças,,
2010-02-03,A Casa Inteligente,,
2010-02-04,Xuxa E Os Duendes 2: No Caminho Das Fadas,,
2010-02-05,Com A Bola Toda,,
2010-02-08,As Aventuras De Sharkboy E Lavagirl,,
2010-02-09,Mamãe Saiu Com Um Vampiro,,
2010-02-10,Um Caminho Para Dois,,
2010-02-11,Táxi 2,,
2010-02-12,Gasparzinho: O Fantasminha Camarada,,
2010-02-15,Tarzan E Jane,,
2010-02-18,Pixel: A Garota Perfeita,,
2010-02-19,Mudança De Hábito 2: Mais Loucuras No Convento,,
2010-02-22,Material Girls,(inédito em TV aberta),
2010-02-23,Spymate: O Agente Animal,,
2010-02-24,Outono Em Nova York,,
2010-02-25,American Mall,,
2010-02-26,Cheque Em Branco,,
2010-03-01,Um Príncipe Em Minha Vida,,
2010-03-02,Inspetor Bugiganga,,
2010-03-03,Gol!,(inédito em TV aberta),
2010-03-04,"Bailey, Um Cão Que Vale Milhões",,
2010-03-05,O 13º Aniversário,,
2010-03-08,O Casamento Dos Meus Sonhos,,
2010-03-09,Johnny Tsunami: O Surfista Da Neve,,
2010-03-10,High School Musical,,
2010-03-11,Duas Vidas,,
2010-03-12,"George, O Rei Da Floresta 2",,
2010-03-15,Operação Cupido,,1998
2010-03-16,Dança Comigo?,,
2010-03-17,O Trapalhão E A Luz Azul,,
2010-03-18,A Filha Do Presidente,,1998
2010-03-19,Aladdin,,1992
2010-03-22,Jump In!,,
2010-03-23,Férias Da Família Johnson,,
2010-03-24,A Herdeira Da Máfia,,
2010-03-25,Halloweentown 2: A Vingança De Kalabar,,
2010-03-26,A Família Buscapé,,
2010-03-29,Gracie,,
2010-03-30,Como Água E Vinho,,
2010-03-31,Zenon: A Corrida Para A Lua,,
2010-04-01,Pateta: O Filme,(inédito em TV aberta),
2010-04-02,Maria: Mãe Do Filho De Deus,,
2010-04-05,Wendy Wu: A Garota Kung Fu,(inédito em TV aberta),
2010-04-06,O Pequeno Stuart Little 2,,
2010-04-07,"Didi, O Caçador De Tesouros",,
2010-04-08,Belas E Mimadas,(inédito em TV aberta | exceto para o RJ - Taça Libertadores da América),
2010-04-09,Peter Pan,,2003
2010-04-12,Sexta-Feira Muito Louca,,
2010-04-13,Os Meninos Voadores,,
2010-04-14,Meu Marciano Favorito,,
2010-04-15,As Feras Da Música 2,,
2010-04-16,Gasparzinho E Wendy,,
2010-04-19,O Diário Da Princesa,,
2010-04-20,Mano A Mana: O Filme,,
2010-04-21,A Menina E O Porquinho,(inédito em TV aberta),2006
2010-04-22,Johnny Kapahala: De Volta Ao Havaí,,
2010-04-23,Robôs,,
2010-04-26,H2O: Meninas Sereias,,
2010-04-27,Lado A Lado,,1998
2010-04-29,Spirit: O Corcel Indomável,,
2010-04-30,Matilda,,
2010-05-03,Nunca É Tarde Para Amar,,
2010-05-04,A Nova Onda Do Imperador,,
2010-05-05,Meu Melhor Amigo,,
2010-05-06,Tainá: Uma Aventura Na Amazônia,,
2010-05-07,O Pestinha,,
2010-05-10,Ela É Demais,,
2010-05-11,Nem Que A Vaca Tussa,,
2010-05-12,Foi Sem Querer,,
2010-05-13,Shiloh 3,,
2010-05-14,Geração X,,
2010-05-17,A Herança De Mr. Deeds,,
2010-05-18,Irmão Urso,,
2010-05-19,Sabrina Vai À Roma,,
2010-05-20,"Eu Aceito, Eles Não",,
2010-05-21,Inspetor Bugiganga 2,,
2010-05-24,Escola Da Vida,,
2010-05-25,Aladdin E Os 40 Ladrões,,
2010-05-26,Diário De Uma Adolescente,,
2010-05-27,Twister,,
2010-05-28,Regresso A Halloweentown,(inédito em TV aberta),
2010-05-31,Lizzie McGuire: Um Sonho Popstar,,
2010-06-01,O Outro Eu,,
2010-06-02,Dr. Dolittle 2,,
2010-06-03,Tarzan,,1999
2010-06-04,Os Porralokinhas,(inédito em TV aberta),
2010-06-07,Bebês Geniais 2: Super Bebês,,
2010-06-08,A Filha Do Presidente,,2004
2010-06-09,Uma Cavaleira Em Camelot,,
2010-06-30,O Auto Da Compadecida,,
2010-07-01,Demolidor: O Homem Sem Medo,,
2010-07-05,O Diário Da Princesa 2,,
2010-07-08,O Galinho Chicken Little,(inédito em TV aberta),
2010-07-09,O Amor É Cego,,
2010-07-12,Procurando Nemo,,
2010-07-13,Dr. Dolittle 3,,
2010-07-14,Didi Quer Ser Criança,,
2010-07-15,Sonhadora,(inédito em TV aberta),
2010-07-16,Loucuras Na Idade Média,,
2010-07-19,Resgate Abaixo De Zero,(inédito em TV aberta),
2010-07-20,Sabrina Na Austrália,,
2010-07-21,Poderoso Joe,,1998
2010-07-22,Um Encontro Com Seu Ídolo!,,
2010-07-23,O Inferno De Dante,,
2010-07-26,Tentação Fatal,,
2010-07-27,Coração De Dragão,,
2010-07-28,A Bruxa Do Bem,(inédito em TV aberta),
2010-07-29,"Felpudo, O Cão Enfeitiçado",,
2010-07-30,O Guardião 2: O Retorno Das Minas Do Rei Salomão,,
2010-08-02,O Cachorro Bombeiro,(inédito em TV aberta),
2010-08-03,Treinadora Por Acaso,,
2010-08-04,Ciência Travessa,,
2010-08-05,Em Busca Do Coração De David,,
2010-08-06,A Torre Do Terror,,
2010-08-09,Um Príncipe Em Minha Vida 2: O Casamento Real,,
2010-08-10,Dois Cachorrinhos Milagrosos,,
2010-08-11,O Negócio É Fofoca,,
2010-08-12,Halloweentown: O Portal,,
2010-08-13,Zathura: Uma Aventura Espacial,,
2010-08-16,Cupido: A Magia Do Amor,(inédito em TV aberta),
2010-08-17,"As Aventuras De Hubert, O Cão Herdeiro",,
2010-08-18,Nossa Querida Babá,,
2010-08-19,Sequestro Por Engano,,
2010-08-20,Mudança De Hábito,,
2010-08-23,O Pequeno Hércules,,
2010-08-24,A Boneca Que Virou Gente,,
2010-08-25,Ninguém Segura Esse Bebê,,
2010-08-26,Eloise No Plaza,,
2010-08-27,O Grande Desafio,,
2010-08-30,Twitches: As Bruxinhas Gêmeas,,
2010-08-31,Um Dia Especial,,
2010-09-01,O Príncipe E O Vira-Lata,,
2010-09-02,Difícil Decisão,,
2010-09-03,Esqueceram De Mim 3,,
2010-09-06,High School Musical 2,,
2010-09-07,A Grande Família: O Filme,,
2010-09-08,As Férias Da Família Robinson,,
2010-09-09,Um Ratinho Encrequeiro,,
2010-09-10,Pisando Na Bola,,
2010-09-13,Aquamarine,,
2010-09-14,O Pequeno Stuart Little,,
2010-09-15,Zoom: Academia De Super Heróis,,
2010-09-16,Outono Em Nova York,,
2010-09-17,Férias No Trailer,,
2010-09-20,Os 102 Dálmatas,,
2010-09-21,ABC Do Amor,,
2010-09-22,Xuxa Gêmeas,,
2010-09-23,Presas No Subúrbio,,
2010-09-24,Pequenos Espiões 3D,,
2010-09-27,Meu Tio Matou Um Cara,,
2010-09-28,Madagascar,,
2010-09-29,Mudança De Comportamento,,
2010-09-30,Virada Radical,,
2010-10-01,Bebês Em Ação,,
2010-10-04,De Repente 30,,
2010-10-05,Evolução,,
2010-10-06,Brink!,,
2010-10-07,Peter Pan: De Volta À Terra do Nunca,,
2010-10-08,"George, O Rei Da Floresta 2",,
2010-10-12,Irmão Urso 2,(inédito em TV aberta),
2010-10-13,As Namoradas Do Papai,,
2010-10-14,Karatê Dog,,
2010-10-15,Barbie: Lago Dos Cisnes,,
2010-10-18,Herbie: Meu Fusca Turbinado,,
2010-10-19,Uma História De Luta,,
2010-10-20,Material Girls,,
2010-10-21,Nossa Querida Babá: O Conto De Fadas Continua,,
2010-10-22,Ace: Uma Questão De Justiça,,
2010-10-25,Super Escola De Heróis,,
2010-10-26,Moondance Alexander: Superando Os Limites,,
2010-10-27,Os Irmãos Id &amp; Ota,,
2010-10-28,O Casamento Dos Meus Sonhos,,
2010-10-29,Camp Rock,,
2010-11-01,Desventuras Em Série,,
2010-11-02,Tinker Bell: Uma Aventura No Mundo Das Fadas,(inédito em TV aberta),
2010-11-03,Finn: Amigo Pra Cachorro,,
2010-11-04,Garota Boa De Bola,,
2010-11-05,Táxi 2,,
2010-11-08,S.O.S Do Amor,,
2010-11-09,Kart Racer: Alta Velocidade,,
2010-11-10,American Mall,,
2010-11-11,"Didi, O Cupido Trapalhão",,
2010-11-12,Ghost: Do Outro Lado Da Vida,,
2010-11-15,O Caminho Para El Dorado,,
2010-11-16,Mamãe Saiu Com Um Vampiro,,
2010-11-18,Mudança De Hábito 2: Mais Loucuras No Convento,,
2010-11-19,Cheque Em Branco,,
2010-11-22,Um Príncipe Em Minha Vida,,
2010-11-23,Twitches: As Bruxinhas Gêmeas 2,,
2010-11-24,Tainá 2: A Aventura Continua,,
2010-11-25,Cãofusões,(exceto para o RJ - RJTV Especial: Rio Contra o Crime),
2010-11-26,Natal Em Família,,
2010-11-29,Confissões De Uma Adolescente Em Crise,,
2010-11-30,"Bogus, Meu Amigo Secreto",,
2010-12-01,Wendy Wu: A Garota Kung Fu,,
2010-12-02,Good Burger,,
2010-12-03,Aladdin E Os 40 Ladrões,,
2010-12-06,Belas E Mimadas,,
2010-12-07,Duas Vidas,,
2010-12-08,Quebrando O Gelo,,
2010-12-09,Flicka,,
2010-12-10,O Príncipe Do Egito,,
2010-12-13,Barbie Como Rapunzel,,
2010-12-14,Os Meninos Voadores,,
2010-12-15,As Aventuras De Pinocchio 2,,
2010-12-16,O 13º Aniversário,,
2010-12-17,Sobrevivendo Ao Natal,,
2010-12-20,A Nova Onda Do Imperador 2: A Nova Onda Do Kronk,,
2010-12-21,Para Sempre Cinderella,,
2010-12-22,Um Natal Milionário,(inédito em TV aberta),
2010-12-23,O Homem Bicentenário,,
2010-12-24,Meu Papai É Noel 3,(inédito em TV aberta),
2010-12-27,Um Tira Muito Suspeito,,
2010-12-28,H2O: Meninas Sereias,,
2010-12-29,Johnny Tsunami: O Surfista Da Neve,,
2010-12-30,Operação Cupido,,1998
2010-12-31,Tarzan E Jane,,
2009-01-01,Lizzie McGuire: Um Sonho Popstar,,
2009-01-02,Poderoso Joe,,1998
2009-01-05,Uma Cavaleira Em Camelot,(inédito em TV aberta),
2009-01-06,Quase Feitos Um Para O Outro,,
2009-01-07,As Férias Da Família Robinson,,
2009-01-08,Turbo: Power Rangers 2,,
2009-01-09,A Incrível Jornada 2: Perdidos Em São Francisco,,
2009-01-12,H2O: Meninas Sereias,,
2009-01-13,High School Musical 2,,
2009-01-14,Barbie Como Rapunzel,,
2009-01-15,Karatê Kid 4: A Nova Aventura,,
2009-01-16,Shredderman: Justiceiro Dos Nerds,,
2009-01-19,Jump In!,,
2009-01-20,O Outro Eu,(exceto para SP - A Posse de Obama),
2009-01-21,O Noviço Rebelde,,
2009-01-22,Kart Racer: Alta Velocidade,(somente para SP),
2009-01-23,Dr. Dolittle,,
2009-01-26,Mulan 2: A Lenda Continua,,
2009-01-27,As Namoradas Do Papai,,
2009-01-28,Confissões De Uma Adolescente Em Crise,,
2009-01-29,O Caminho Para El Dorado,,
2009-01-30,"George, O Rei Da Floresta",,1997
2009-02-02,A Filha Do Presidente,,1998
2009-02-03,"Bogus, Meu Amigo Secreto",,
2009-02-04,"Bailey, Um Cão Que Vale Milhões",,
2009-02-05,Operação Cupido,,1998
2009-02-06,A Fuga Das Galinhas,,
2009-02-09,MIB: Homens De Preto,,
2009-02-10,"Didi, O Cupido Trapalhão",,
2009-02-11,Os Irmãos Id &amp; Ota,,
2009-02-12,O Príncipe E O Vira-Lata,,
2009-02-13,O Guardião 2: O Retorno Das Minas Do Rei Salomão,,
2009-02-16,K-9: Detetive Particular,,
2009-02-17,Twitches: As Bruxinhas Gêmeas,,
2009-02-18,Atlantis: O Retorno De Milo,,
